rule,support_ratio,confidence,conciseness
airports(t0) ^ airports(t1) ^ t0.iso_region == t1.iso_region ^ t0.latitude_deg == t1.latitude_deg ^ t0.local_code == t1.local_code  ->  t0.longitude_deg == t1.longitude_deg,3062,0.9409956976029502,0.3333333333333333
airports(t0) ^ airports(t1) ^ t0.longitude_deg == t1.longitude_deg ^ t0.municipality == t1.municipality  ->  t0.iso_country == t1.iso_country,3392,0.9877693651718114,0.5
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg  ->  t0.iata_code == t1.iata_code,7128,0.8988650693568726,1.0
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg ^ t0.municipality == t1.municipality  ->  t0.type == t1.type,3098,0.8886976477337923,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == BR ^ t0.municipality == t1.municipality  ->  t0.iata_code == t1.iata_code,96890,0.9623942151058842,0.5
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code ^ t0.longitude_deg == t1.longitude_deg  ->  t0.iso_country == t1.iso_country,2984,0.9959946595460614,0.5
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.longitude_deg == t1.longitude_deg  ->  t0.type == t1.type,3044,0.9832041343669251,0.5
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.gps_code == t1.gps_code ^ t0.iso_country == BR  ->  t0.type == t1.type,26884,0.8508671983795417,0.3333333333333333
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.name == t1.name  ->  t0.iso_region == t1.iso_region,2922,0.9462435233160622,0.5
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.iso_country == t1.iso_country  ->  t0.wikipedia_link == t1.wikipedia_link,3817002,0.9131754133211099,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.keywords == t1.keywords  ->  t0.scheduled_service == t1.scheduled_service,384376950,0.9609900353008007,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == BR ^ t0.type == t1.type  ->  t0.wikipedia_link == t1.wikipedia_link,14151610,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code ^ t0.iso_country == BR  ->  t0.local_code == t1.local_code,260864,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code  ->  t0.home_link == t1.home_link,229206028,0.9100014453237947,1.0
airports(t0) ^ airports(t1) ^ t0.iso_region == t1.iso_region ^ t0.name == t1.name  ->  t0.keywords == t1.keywords,4228,0.9433288710397144,0.5
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg ^ t0.local_code == t1.local_code  ->  t0.wikipedia_link == t1.wikipedia_link,4122,0.9635343618513323,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == BR ^ t0.local_code == t1.local_code ^ t0.municipality == t1.municipality ^ t0.type == t1.type  ->  t0.keywords == t1.keywords,40292,0.914937099777465,0.25
airports(t0) ^ airports(t1) ^ t0.longitude_deg == t1.longitude_deg ^ t0.name == t1.name  ->  t0.elevation_ft == t1.elevation_ft,2802,0.9964438122332859,0.5
airports(t0) ^ airports(t1) ^ t0.iata_code == t1.iata_code ^ t0.iso_country == BR  ->  t0.wikipedia_link == t1.wikipedia_link,22194214,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.wikipedia_link == t1.wikipedia_link  ->  t0.iata_code == t1.iata_code,422569696,0.9703219859808866,0.5
airports(t0) ^ airports(t1) ^ t0.local_code == t1.local_code ^ t0.municipality == t1.municipality ^ t0.name == t1.name  ->  t0.longitude_deg == t1.longitude_deg,2842,0.9391936549900859,0.3333333333333333
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code  ->  t0.wikipedia_link == t1.wikipedia_link,217579234,0.8638403585635371,1.0
airports(t0) ^ airports(t1) ^ t0.continent == t1.continent ^ t0.iso_country == BR  ->  t0.wikipedia_link == t1.wikipedia_link,24162142,0.9222528823763861,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.wikipedia_link == t1.wikipedia_link  ->  t0.iso_country == t1.iso_country,435494302,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.longitude_deg == t1.longitude_deg ^ t0.name == t1.name  ->  t0.gps_code == t1.gps_code,2800,0.9957325746799431,0.5
airports(t0) ^ airports(t1) ^ t0.iso_region == t1.iso_region  ->  t0.scheduled_service == t1.scheduled_service,22951604,0.9520821306963511,1.0
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.iso_country == t1.iso_country  ->  t0.wikipedia_link == t1.wikipedia_link,435494302,0.8033151329071749,0.5
airports(t0) ^ airports(t1) ^ t0.gps_code == t1.gps_code ^ t0.iso_country == BR  ->  t0.iso_country == t1.iso_country,260864,1.0,0.5
airports(t0) ^ airports(t1) ^ t0.elevation_ft == t1.elevation_ft ^ t0.latitude_deg == t1.latitude_deg  ->  t0.local_code == t1.local_code,3136,0.9974554707379135,0.5
airports(t0) ^ airports(t1) ^ t0.iso_country == US ^ t0.local_code == t1.local_code  ->  t0.gps_code == t1.gps_code,4266528,0.9225136835568556,0.5
airports(t0) ^ airports(t1) ^ t0.latitude_deg == t1.latitude_deg ^ t0.longitude_deg == t1.longitude_deg  ->  t0.elevation_ft == t1.elevation_ft,2826,0.9922752808988764,0.5
airports(t0) ^ airports(t1) ^ t0.continent == t1.continent ^ t0.keywords == t1.keywords ^ t0.municipality == t1.municipality ^ t0.type == t1.type  ->  t0.wikipedia_link == t1.wikipedia_link,3671116,0.902422476713762,0.25
airports(t0) ^ airports(t1) ^ t0.iso_country == BR ^ t0.latitude_deg == t1.latitude_deg  ->  t0.iata_code == t1.iata_code,188,0.9791666666666666,0.5
