left_id,right_id,label
368,382,0
138,341,1
176,215,0
47,129,0
361,406,0
97,260,0
305,403,1
13,315,1
83,186,0
21,191,1
100,324,1
167,480,1
66,215,1
8,85,0
87,314,0
165,337,1
124,334,0
116,338,0
205,223,0
148,189,1
382,485,1
115,136,0
378,411,1
46,375,1
352,449,1
52,275,1
53,375,1
152,412,0
6,416,0
410,475,1
37,138,0
77,476,1
248,324,0
23,403,0
114,324,1
225,260,0
222,365,0
13,99,1
126,246,0
303,353,0
260,442,1
341,433,1
172,353,0
106,204,0
47,352,0
279,349,0
158,241,0
173,394,0
51,233,1
193,231,0
293,391,0
363,364,0
85,394,1
230,296,1
180,272,0
224,467,0
177,355,0
63,91,1
178,331,0
232,477,0
135,406,0
61,388,0
115,390,1
23,349,0
