rule,support_ratio,confidence,conciseness
aminer(t0) ^aminer(t1) ^ t0.published_papers = '1' ^ t0.h_index = '1' ^ t0.citations <= t1.citations  ->  t0.p_index <= t1.p_index,0.00047091412742382264,0.8947368421052632,0.3333333333333333
aminer(t0) ^ t0.published_papers = '2' ^ t0.h_index = '2'  ->  t0.h_index = '1',0.00013850415512465375,1.0,1.0
aminer(t0) ^aminer(t1) ^ t0.h_index = '2' ^ t0.research_interests = t1.research_interests  ->  t0.author_affiliations = t1.author_affiliations,5.540166204986149e-05,1.0,0.5
aminer(t0) ^aminer(t1) ^ t0.h_index >= t1.h_index ^ t0.author_affiliations = t1.author_affiliations  ->  t0.p_index_with_unequal_a_index <= t1.p_index_with_unequal_a_index,0.000110803324099723,1.0,0.5
aminer(t0) ^aminer(t1) ^ t1.citations = '3' ^ t0.p_index_with_unequal_a_index = t1.p_index_with_unequal_a_index  ->  t0.published_papers = '1',5.540166204986149e-05,1.0,0.5
aminer(t0) ^aminer(t1) ^ t0.published_papers <= t1.published_papers ^ t0.author_name = t1.author_name ^ t0.author_affiliations = t1.author_affiliations ^ t0.research_interests = t1.research_interests  ->  t0.p_index <= t1.p_index,0.000110803324099723,1.0,0.25
aminer(t0) ^aminer(t1) ^ t1.citations = '3' ^ t0.p_index_with_unequal_a_index = t1.p_index_with_unequal_a_index  ->  t0.p_index = t1.p_index,5.540166204986149e-05,1.0,0.5
aminer(t0) ^aminer(t1) ^ t1.published_papers = '14' ^ t0.p_index_with_unequal_a_index <= t1.p_index_with_unequal_a_index ^ t0.p_index >= t1.p_index  ->  t0.citations <= t1.citations,2.770083102493075e-05,1.0,0.3333333333333333
aminer(t0) ^aminer(t1) ^ t0.p_index_with_unequal_a_index = '0.0000' ^ t0.published_papers = '2'  ->  t0.p_index = t1.p_index,0.00221606648199446,1.0,0.5
aminer(t0) ^aminer(t1) ^ t0.research_interests = t1.research_interests  ->  t0.p_index_with_unequal_a_index = '0.0000',0.000221606648199446,1.0,1.0
aminer(t0) ^aminer(t1) ^ t1.published_papers = '14' ^ t1.p_index = '0.0000'  ->  t0.h_index = '0',0.002326869806094183,1.0,0.5
aminer(t0) ^aminer(t1) ^ t0.p_index >= t1.p_index ^ t0.author_id = t1.author_id  ->  t0.h_index <= t1.h_index,0.000221606648199446,1.0,0.5
aminer(t0) ^aminer(t1) ^ t1.citations = '3' ^ t0.p_index = t1.p_index  ->  t0.published_papers = '1',0.0001662049861495845,1.0,0.5
aminer(t0) ^aminer(t1) ^ t1.citations = '3' ^ t0.p_index = t1.p_index  ->  t0.h_index = t1.h_index,0.0001662049861495845,1.0,0.5
aminer(t0) ^aminer(t1) ^ t0.published_papers = '1' ^ t1.p_index = '0.3333' ^ t0.p_index_with_unequal_a_index <= t1.p_index_with_unequal_a_index  ->  t0.citations <= t1.citations,0.0001662049861495845,1.0,0.3333333333333333
aminer(t0) ^aminer(t1) ^ t0.p_index_with_unequal_a_index >= t1.p_index_with_unequal_a_index ^ t0.author_name = t1.author_name  ->  t0.h_index <= t1.h_index,0.000221606648199446,1.0,0.5
aminer(t0) ^aminer(t1) ^ t1.p_index = '0.3333' ^ t0.p_index_with_unequal_a_index = t1.p_index_with_unequal_a_index  ->  t0.research_interests = t1.research_interests,5.540166204986149e-05,1.0,0.5
aminer(t0) ^aminer(t1) ^ t0.published_papers = '1' ^ t0.author_affiliations = t1.author_affiliations  ->  t0.h_index <= t1.h_index,0.000110803324099723,1.0,0.5
aminer(t0) ^aminer(t1) ^ t1.published_papers = '14' ^ t0.h_index = '2' ^ t0.citations <= t1.citations ^ t0.p_index_with_unequal_a_index <= t1.p_index_with_unequal_a_index  ->  t0.published_papers = '2',5.540166204986149e-05,1.0,0.25
aminer(t0) ^aminer(t1) ^ t1.citations = '0' ^ t0.published_papers = '2'  ->  t0.p_index = t1.p_index,0.00221606648199446,1.0,0.5
aminer(t0) ^aminer(t1) ^ t0.h_index = '1' ^ t0.citations = t1.citations ^ t0.p_index = t1.p_index  ->  t0.author_id = t1.author_id,5.540166204986149e-05,1.0,0.3333333333333333
aminer(t0) ^aminer(t1) ^ t1.published_papers = '14' ^ t0.p_index_with_unequal_a_index <= t1.p_index_with_unequal_a_index  ->  t0.p_index <= t1.p_index,0.0001939058171745152,0.875,0.5
aminer(t0) ^aminer(t1) ^ t0.author_name = t1.author_name  ->  t0.p_index_with_unequal_a_index = '0.0000',0.000221606648199446,1.0,1.0
aminer(t0) ^aminer(t1) ^ t0.h_index = '1' ^ t0.citations <= t1.citations ^ t0.p_index_with_unequal_a_index <= t1.p_index_with_unequal_a_index  ->  t0.p_index <= t1.p_index,0.0009418282548476453,0.8717948717948718,0.3333333333333333
aminer(t0) ^aminer(t1) ^ t0.p_index_with_unequal_a_index = '0.0000' ^ t0.author_id = t1.author_id  ->  t0.p_index <= t1.p_index,0.000221606648199446,1.0,0.5
aminer(t0) ^aminer(t1) ^ t1.p_index = '0.0000' ^ t0.author_name = t1.author_name  ->  t0.p_index_with_unequal_a_index <= t1.p_index_with_unequal_a_index,0.000221606648199446,1.0,0.5
aminer(t0) ^aminer(t1) ^ t0.author_name = t1.author_name  ->  t1.citations = '3',5.540166204986149e-05,1.0,1.0
aminer(t0) ^aminer(t1) ^ t1.citations = '3' ^ t0.h_index = '1' ^ t0.p_index >= t1.p_index  ->  t0.published_papers = '2',0.000221606648199446,0.8888888888888888,0.3333333333333333
aminer(t0) ^aminer(t1) ^ t0.published_papers = '2' ^ t1.p_index = '0.0000'  ->  t0.h_index = t1.h_index,0.00221606648199446,1.0,0.5
aminer(t0) ^aminer(t1) ^ t0.author_name = t1.author_name  ->  t1.citations = '0',0.000221606648199446,1.0,1.0
aminer(t0) ^aminer(t1) ^ t0.h_index = '1' ^ t0.published_papers <= t1.published_papers ^ t0.citations <= t1.citations ^ t0.p_index = t1.p_index  ->  t0.p_index_with_unequal_a_index <= t1.p_index_with_unequal_a_index,5.540166204986149e-05,1.0,0.25
aminer(t0) ^aminer(t1) ^ t0.citations = t1.citations  ->  t0.h_index = '2',5.540166204986149e-05,1.0,1.0
aminer(t0) ^ t0.citations = '0' ^ t0.p_index = '0.3333'  ->  t0.p_index = '0.0000',0.002326869806094183,1.0,1.0
aminer(t0) ^aminer(t1) ^ t0.citations <= t1.citations ^ t0.author_name = t1.author_name  ->  t0.h_index <= t1.h_index,0.000221606648199446,1.0,0.5
aminer(t0) ^aminer(t1) ^ t0.published_papers = '2' ^ t0.h_index <= t1.h_index  ->  t0.citations <= t1.citations,0.003545706371191136,0.992248062015504,0.5
aminer(t0) ^aminer(t1) ^ t0.published_papers = '1' ^ t0.h_index = '1' ^ t0.p_index_with_unequal_a_index <= t1.p_index_with_unequal_a_index  ->  t0.h_index = '0',0.00221606648199446,0.8988764044943821,0.3333333333333333
aminer(t0) ^aminer(t1) ^ t1.p_index = '0.0000' ^ t0.h_index = '2'  ->  t1.citations = '0',0.002908587257617729,1.0,0.5
aminer(t0) ^aminer(t1) ^ t0.author_affiliations = t1.author_affiliations  ->  t0.p_index_with_unequal_a_index = t1.p_index_with_unequal_a_index,0.0001662049861495845,1.0,1.0
aminer(t0) ^aminer(t1) ^ t0.published_papers = '1' ^ t0.h_index = '1' ^ t0.p_index <= t1.p_index  ->  t0.p_index_with_unequal_a_index = '0.0000',0.002908587257617729,0.8536585365853658,0.3333333333333333
aminer(t0) ^aminer(t1) ^ t0.author_name = t1.author_name  ->  t1.p_index = '0.3333',5.540166204986149e-05,1.0,1.0
aminer(t0) ^aminer(t1) ^ t0.author_affiliations = t1.author_affiliations  ->  t0.research_interests = t1.research_interests,0.0001662049861495845,1.0,1.0
aminer(t0) ^aminer(t1) ^ t1.citations = '3' ^ t0.p_index_with_unequal_a_index = '0.0000'  ->  t1.p_index = '0.0000',0.0034903047091412744,1.0,0.5
aminer(t0) ^aminer(t1) ^ t0.published_papers = '1' ^ t1.p_index = '0.3333' ^ t0.p_index_with_unequal_a_index >= t1.p_index_with_unequal_a_index  ->  t1.citations = '0',0.0017728531855955676,0.8767123287671232,0.3333333333333333
