left_id,right_id,label
57,443,0
46,93,1
359,483,1
285,289,0
400,501,1
13,606,0
231,314,1
83,615,1
304,308,0
341,399,1
8,281,1
176,233,1
223,265,1
364,574,0
214,375,0
27,39,1
107,262,0
207,433,0
39,80,1
293,508,0
23,423,1
447,580,0
235,464,0
65,503,1
366,439,1
88,299,0
2,573,1
255,414,1
200,274,1
101,177,1
62,256,1
472,586,0
254,403,0
63,547,0
385,407,1
77,435,1
20,38,0
119,606,1
31,46,0
85,331,1
122,571,0
58,130,0
166,338,1
314,599,0
101,154,1
23,215,1
314,607,0
127,182,1
10,215,0
60,298,0
73,338,0
431,575,0
429,449,1
425,567,1
164,561,1
527,615,0
90,188,1
368,412,1
31,546,1
170,566,0
142,231,0
10,61,0
318,580,1
1,164,1
29,278,0
93,542,0
305,409,0
387,429,0
304,354,0
233,296,0
158,386,0
309,534,0
246,490,0
175,297,0
245,399,1
152,155,0
119,407,1
341,528,1
81,153,1
398,414,1
89,104,1
49,329,0
261,426,1
521,542,0
29,216,0
29,510,0
479,575,0
183,518,0
374,564,0
558,601,1
23,531,1
506,548,0
70,453,0
412,463,0
153,338,0
99,160,0
52,596,0
343,484,0
155,597,0
179,342,0
434,508,1
363,493,0
177,422,1
168,497,1
149,507,0
81,623,1
269,542,1
1,302,0
517,588,1
33,289,0
345,594,0
169,348,1
47,241,0
73,324,0
35,411,1
424,444,1
117,478,0
65,478,1
122,548,0
330,574,0
190,230,1
367,599,0
96,98,1
213,334,1
282,478,0
186,558,0
199,262,1
471,615,0
414,498,0
188,273,0
52,161,0
57,162,0
228,385,1
180,280,1
386,460,1
124,284,0
195,585,0
127,402,1
0,53,1
181,558,1
185,367,0
476,605,0
337,349,0
183,388,0
414,423,0
80,446,0
123,170,1
375,529,0
142,234,0
132,624,0
72,448,0
428,575,0
134,449,0
2,463,1
9,150,0
373,451,1
81,603,0
124,243,1
30,431,1
356,432,0
174,400,0
91,418,1
375,557,1
289,563,1
279,568,0
191,287,1
431,439,0
5,602,0
72,496,0
326,571,0
32,66,0
216,604,0
224,276,0
127,490,1
135,290,0
83,86,1
31,313,0
100,382,0
351,559,0
361,472,0
1,457,0
211,382,0
455,478,0
460,569,0
27,370,1
399,597,0
569,623,1
113,516,1
304,498,0
149,248,0
551,561,1
120,448,1
355,437,0
48,530,1
513,601,0
11,427,1
461,519,1
218,486,1
264,443,0
455,479,0
11,555,1
62,435,0
355,580,0
328,461,0
213,455,1
14,246,1
176,475,1
343,563,0
274,459,0
164,218,0
249,301,0
58,526,0
71,276,1
256,385,0
169,497,1
138,291,0
57,82,1
359,498,1
467,566,0
206,263,1
319,559,1
201,474,0
483,607,0
172,545,0
22,118,0
8,418,0
68,132,1
183,495,0
224,374,0
342,471,1
46,596,1
118,540,1
354,482,1
360,612,0
4,141,1
76,179,1
12,365,1
388,482,1
236,472,0
105,316,1
138,258,1
6,563,1
471,572,1
301,595,0
96,458,0
148,422,1
257,286,1
243,314,0
138,592,1
377,429,0
77,313,0
407,546,0
136,279,1
262,447,0
338,466,1
405,556,1
49,83,0
271,372,1
222,272,0
140,371,0
8,177,0
162,389,0
167,314,1
354,440,0
409,502,1
245,574,0
89,533,0
45,456,1
375,397,0
352,494,0
10,325,0
102,220,1
376,588,1
67,607,0
149,424,0
394,612,0
264,526,0
267,521,0
97,543,1
409,620,0
260,463,1
135,542,0
216,414,1
36,65,0
25,514,1
209,238,0
80,127,0
153,322,1
362,572,1
537,583,0
109,147,1
265,296,0
171,407,1
128,225,1
456,524,0
404,526,0
206,223,1
397,487,0
22,215,0
329,604,0
312,600,1
445,573,1
457,521,1
173,239,0
146,347,0
340,571,0
124,289,0
239,597,0
188,226,1
307,508,0
414,420,0
366,431,1
109,562,0
166,435,1
138,285,0
158,560,0
139,309,0
96,440,0
5,173,1
70,384,0
