left_id,right_id,label
224,374,0
155,597,0
264,526,0
246,490,0
455,478,0
409,620,0
80,446,0
153,338,0
190,230,1
32,66,0
100,382,0
12,365,1
47,241,0
180,280,1
200,274,1
177,422,1
318,580,1
83,615,1
289,563,1
364,574,0
425,567,1
57,82,1
249,301,0
6,563,1
183,495,0
139,309,0
558,601,1
138,285,0
109,562,0
11,427,1
342,471,1
397,487,0
29,216,0
57,443,0
260,463,1
431,439,0
228,385,1
135,290,0
49,329,0
174,400,0
183,518,0
176,475,1
132,624,0
274,459,0
1,164,1
101,177,1
127,182,1
304,308,0
10,61,0
471,572,1
412,463,0
23,531,1
91,418,1
404,526,0
206,263,1
330,574,0
319,559,1
216,604,0
447,580,0
243,314,0
81,603,0
23,423,1
457,521,1
70,384,0
57,162,0
424,444,1
107,262,0
65,478,1
162,389,0
254,403,0
385,407,1
236,472,0
49,83,0
188,273,0
367,599,0
521,542,0
517,588,1
14,246,1
366,439,1
456,524,0
105,316,1
341,528,1
65,503,1
63,547,0
158,560,0
301,595,0
136,279,1
149,248,0
77,313,0
361,472,0
279,568,0
8,418,0
207,433,0
11,555,1
414,420,0
33,289,0
506,548,0
282,478,0
352,494,0
13,606,0
70,453,0
10,325,0
245,574,0
85,331,1
31,546,1
99,160,0
445,573,1
326,571,0
345,594,0
83,86,1
142,234,0
179,342,0
148,422,1
39,80,1
96,98,1
175,297,0
109,147,1
168,497,1
170,566,0
135,542,0
45,456,1
455,479,0
355,437,0
271,372,1
27,39,1
72,448,0
149,507,0
22,215,0
67,607,0
1,302,0
25,514,1
343,563,0
46,93,1
153,322,1
305,409,0
58,526,0
101,154,1
89,104,1
394,612,0
267,521,0
36,65,0
191,287,1
201,474,0
293,508,0
73,338,0
460,569,0
314,607,0
8,177,0
29,278,0
9,150,0
185,367,0
386,460,1
138,258,1
461,519,1
264,443,0
307,508,0
483,607,0
176,233,1
124,284,0
76,179,1
