rule,support_ratio,confidence,conciseness
hospital(t0) ⋀ hospital(t1) ⋀  t1.Condition = 'Surgical Infection Prevention' ⋀  t0.Hospital_Owner = 'Voluntary non-profit - Other' ⋀  t0.State = t1.State ⋀  t0.County_Name = t1.County_Name ⋀  t0.Sample = t1.Sample  ->  t0.City = t1.City,1.585597677249209e-07,0.9025862068965518,0.2
hospital(t0) ⋀ hospital(t1) ⋀  t1.Condition = 'Surgical Infection Prevention' ⋀  t0.Hospital_Type = 'Critical Access Hospitals' ⋀  t0.State = t1.State ⋀  t0.County_Name = t1.County_Name ⋀  t0.Sample = t1.Sample  ->  t0.Provider_Number = t1.Provider_Number,4.416048545232755e-07,0.8633604737231679,0.2
hospital(t0) ⋀ hospital(t1) ⋀  t0.Emergency_Service = 'No' ⋀  t0.Hospital_Owner = 'Government - Hospital District or Authority' ⋀  t0.County_Name = t1.County_Name ⋀  t0.Sample = t1.Sample  ->  t0.City = t1.City,1.123699595529048e-07,0.8632926119837114,0.25
hospital(t0) ⋀ hospital(t1) ⋀  t1.Condition = 'Surgical Infection Prevention' ⋀  t0.State = t1.State ⋀  t0.County_Name = t1.County_Name ⋀  t0.Hospital_Owner = t1.Hospital_Owner ⋀  t0.Emergency_Service = t1.Emergency_Service ⋀  t0.Sample = t1.Sample  ->  t0.Hospital_Name = t1.Hospital_Name,9.386374788529705e-07,0.8500891510080921,0.16666666666666666
hospital(t0) ⋀ hospital(t1) ⋀  t1.Hospital_Type = 'Acute Care Hospitals' ⋀  t1.Hospital_Owner = 'Government - Local' ⋀  t0.County_Name = t1.County_Name ⋀  t0.Emergency_Service = t1.Emergency_Service ⋀  t0.Sample = t1.Sample  ->  t0.Phone_Number = t1.Phone_Number,2.547254339191184e-07,0.8533739218670725,0.2
hospital(t0) ⋀ hospital(t1) ⋀  t1.Condition = 'Surgical Infection Prevention' ⋀  t0.Hospital_Owner = 'Government - Hospital District or Authority' ⋀  t0.County_Name = t1.County_Name ⋀  t0.Sample = t1.Sample  ->  t0.Phone_Number = t1.Phone_Number,1.0767525773869989e-07,0.860774818401937,0.25
hospital(t0) ⋀ hospital(t1) ⋀  t0.Hospital_Type = 'Critical Access Hospitals' ⋀  t0.State = t1.State ⋀  t0.County_Name = t1.County_Name ⋀  t0.Emergency_Service = t1.Emergency_Service ⋀  t0.Sample = t1.Sample  ->  t0.City = t1.City,1.868945648035577e-06,0.8618618618618619,0.2
hospital(t0) ⋀ hospital(t1) ⋀  t0.Hospital_Type = 'Critical Access Hospitals' ⋀  t1.Hospital_Owner = 'Voluntary non-profit - Church' ⋀  t0.County_Name = t1.County_Name ⋀  t0.Emergency_Service = t1.Emergency_Service ⋀  t0.Sample = t1.Sample  ->  t0.Phone_Number = t1.Phone_Number,1.2342522511538733e-07,0.9085841694537348,0.2
hospital(t0) ⋀ hospital(t1) ⋀  t1.Condition = 'Surgical Infection Prevention' ⋀  t0.Hospital_Type = 'Critical Access Hospitals' ⋀  t0.State = t1.State ⋀  t0.County_Name = t1.County_Name ⋀  t0.Sample = t1.Sample  ->  t0.Hospital_Name = t1.Hospital_Name,4.416048545232755e-07,0.8633604737231679,0.2
hospital(t0) ⋀ hospital(t1) ⋀  t1.Condition = 'Surgical Infection Prevention' ⋀  t1.Hospital_Owner = 'Voluntary non-profit - Private' ⋀  t0.State = t1.State ⋀  t0.County_Name = t1.County_Name ⋀  t0.Emergency_Service = t1.Emergency_Service ⋀  t0.Sample = t1.Sample  ->  t0.Hospital_Name = t1.Hospital_Name,2.89859976528652e-07,0.859452177817692,0.16666666666666666
