left_id,right_id,label
15,223,1
74,118,1
38,239,1
34,53,0
125,221,1
144,154,1
3,188,1
122,182,1
58,86,0
128,180,0
82,103,0
24,157,1
106,150,1
143,178,1
166,221,0
49,86,0
80,151,1
117,123,0
122,138,1
19,40,0
74,189,0
65,222,1
67,122,0
225,232,1
129,216,0
27,78,0
41,234,0
22,191,0
47,88,0
81,111,1
153,192,1
0,208,0
1,23,1
108,143,0
10,50,1
50,92,0
127,158,0
184,208,1
33,87,1
129,137,0
106,234,0
103,212,1
27,138,1
70,213,1
189,223,1
96,108,0
90,135,0
164,185,0
104,130,1
187,224,0
80,212,1
80,243,1
4,46,0
145,160,0
52,233,1
168,243,1
61,211,0
27,63,0
110,163,1
41,133,1
18,122,0
60,229,1
174,181,0
110,176,0
103,129,1
102,130,1
36,129,1
243,244,1
74,210,0
173,221,1
98,218,0
23,237,0
17,51,0
149,197,0
22,138,0
57,183,1
170,174,1
46,224,1
45,62,1
106,187,1
27,49,1
7,169,0
196,199,1
201,214,0
168,207,0
114,195,1
130,231,0
0,88,0
40,163,1
79,137,0
32,242,0
11,86,1
170,224,0
118,183,1
137,141,0
25,183,1
150,177,0
156,205,0
126,196,0
205,215,1
134,198,1
93,176,0
175,222,1
79,195,1
33,153,1
2,234,0
110,154,1
132,239,1
38,145,1
23,132,0
116,120,1
68,147,0
5,36,1
35,150,1
20,160,0
42,77,0
6,16,1
87,219,1
95,113,0
1,190,0
18,59,1
39,88,0
71,160,0
12,105,1
21,180,1
13,212,1
61,91,0
26,240,1
101,169,0
11,139,0
83,123,1
8,203,0
183,229,0
119,151,1
71,146,0
203,224,1
37,149,1
28,43,1
135,219,1
221,239,1
76,198,1
71,98,0
75,213,1
66,75,0
81,85,1
99,148,0
127,138,0
131,150,1
32,227,0
100,150,1
30,61,0
48,108,0
14,140,1
37,144,0
14,31,1
126,154,0
159,188,1
119,120,1
56,234,1
105,141,1
