left_id,right_id,label
27,213,0
217,236,1
18,53,0
10,239,1
56,172,1
156,226,1
231,243,1
161,191,0
2,110,1
119,221,1
1,213,0
97,158,1
131,215,0
140,143,0
53,55,1
81,189,0
189,232,1
23,34,0
35,167,0
10,112,1
7,104,0
132,133,1
80,216,1
135,220,1
119,218,1
132,201,1
80,146,0
0,18,0
113,149,1
108,137,1
111,191,0
4,189,1
4,5,1
30,90,0
102,188,1
95,97,0
13,154,1
16,28,0
68,103,0
61,82,0
108,143,0
183,229,0
8,35,1
139,207,0
44,56,0
205,215,1
218,235,1
117,123,0
164,185,0
135,161,0
57,104,0
119,120,1
201,210,0
19,40,0
47,94,0
21,180,1
36,129,1
170,224,0
35,150,1
66,75,0
60,229,1
110,163,1
40,178,1
196,199,1
45,62,1
53,163,1
166,229,0
45,49,1
166,221,0
96,108,0
141,201,1
54,202,1
173,221,1
201,214,0
98,218,0
66,212,1
166,186,0
166,207,0
34,126,1
79,195,1
38,153,0
96,184,0
40,226,1
113,241,0
37,149,1
161,184,1
127,138,0
90,135,0
138,170,0
102,168,1
81,85,1
4,180,1
83,119,1
74,189,0
181,205,0
153,222,1
33,170,1
14,152,0
33,153,1
95,113,0
145,149,1
104,130,1
80,151,1
189,223,1
32,227,0
176,225,1
71,146,0
99,242,0
21,157,1
12,100,1
46,187,1
88,241,1
34,53,0
42,77,0
68,153,0
73,175,0
73,163,1
7,169,0
100,175,1
118,193,0
58,86,0
22,138,0
20,160,0
116,239,1
156,205,0
17,227,0
169,181,1
29,236,0
71,228,0
149,197,0
59,124,0
103,129,1
127,158,0
143,178,1
48,108,0
56,234,1
104,161,0
31,227,0
90,132,0
62,164,1
30,61,0
11,196,0
74,100,0
14,230,0
124,145,1
3,188,1
160,196,0
194,216,1
116,120,1
27,138,1
13,212,1
17,131,1
45,216,1
85,241,0
100,150,1
11,160,0
18,122,0
49,152,0
56,213,1
120,174,1
129,137,0
4,46,0
33,49,1
122,138,1
32,242,0
71,98,0
50,92,0
41,219,1
67,147,0
132,239,1
128,180,0
27,63,0
111,215,0
36,119,0
184,208,1
23,132,0
101,202,1
82,103,0
7,101,1
79,137,0
25,107,1
109,112,1
125,221,1
99,148,0
20,162,0
139,196,0
1,133,1
16,194,0
138,237,1
0,88,0
184,202,1
83,196,0
71,160,0
17,66,0
119,155,1
81,111,1
37,144,0
148,178,1
14,31,1
39,88,0
118,183,1
121,129,1
132,158,1
47,150,0
92,195,1
46,224,1
103,212,1
8,203,0
70,213,1
59,110,1
67,122,0
203,224,1
231,244,1
136,139,0
73,168,0
129,144,0
65,222,1
33,104,1
6,18,1
52,233,1
61,211,0
75,213,1
159,188,1
10,71,1
55,155,0
11,86,1
155,158,1
129,216,0
15,223,1
153,192,1
27,56,0
20,24,0
38,85,1
200,242,0
174,179,0
105,141,1
24,157,1
44,204,0
23,237,0
27,49,1
14,140,1
225,232,1
187,224,0
114,195,1
158,206,0
5,36,1
38,242,0
41,133,1
1,202,1
127,181,0
40,163,1
87,237,0
130,231,0
67,240,0
113,173,0
54,102,0
17,51,0
12,105,1
41,155,1
0,157,0
131,150,1
74,210,0
78,91,1
102,104,1
170,212,1
175,222,1
48,229,1
18,59,1
79,211,0
126,196,0
93,176,0
136,229,0
111,198,1
101,169,0
192,195,1
135,219,1
38,239,1
221,239,1
79,206,0
144,154,1
10,50,1
1,190,0
8,126,1
76,198,1
83,123,1
34,190,0
19,223,1
119,151,1
67,213,0
20,192,0
6,16,1
131,142,0
119,149,1
51,200,1
106,187,1
145,160,0
96,98,1
0,208,0
26,240,1
30,188,1
29,213,0
110,154,1
174,181,0
136,202,1
231,240,0
38,179,0
14,179,0
27,135,1
33,59,1
126,154,0
137,141,0
86,183,1
47,88,0
12,237,1
22,191,0
168,207,0
27,78,0
26,64,1
7,203,0
110,176,0
