rule,support_ratio,confidence,conciseness
ncvoter(t0) ⋀ ncvoter(t1) ⋀ t0.date == t1.date ⋀ t0.election_phase == 11/04/2008 GENERAL  ->  t0.date == 11/04/2008,1008172514016,1.0,0.5
ncvoter(t0) ⋀ ncvoter(t1) ⋀ t0.date == 11/08/2016 ⋀ t0.party == t1.party  ->  t0.election_phase == 11/08/2016,1087608690624,1.0,0.5
ncvoter(t0) ⋀ ncvoter(t1) ⋀ t0.city_id2 == t1.city_id2 ⋀ t0.election_phase == 11/04/2008 GENERAL  ->  t0.date == t1.date,306077682,1.0,0.5
ncvoter(t0) ⋀ ncvoter(t1) ⋀ t0.city_id == t1.city_id ⋀ t0.election_phase == 11/04/2014 GENERAL  ->  t0.date == t1.date,35255552,1.0,0.5
ncvoter(t0) ⋀ ncvoter(t1) ⋀ t0.election_phase == 05/06/2008 PRIMARY ⋀ t0.way_of_voting == t1.way_of_voting  ->  t0.election_phase == t1.election_phase,3873171744,1.0,0.5
ncvoter(t0) ⋀ ncvoter(t1) ⋀ t0.election_phase == 11/04/2014 GENERAL ⋀ t0.way_of_voting == t1.way_of_voting  ->  t0.election_phase == t1.election_phase,7020053324,1.0,0.5
ncvoter(t0) ⋀ ncvoter(t1) ⋀ t0.date == 11/06/2012 ⋀ t0.party == t1.party  ->  t0.election_phase == 11/06/2012,938826033408,1.0,0.5
ncvoter(t0) ⋀ ncvoter(t1) ⋀ t0.election_phase == 11/06/2012 GENERAL ⋀ t0.party == t1.party  ->  t0.election_phase == t1.election_phase,36584826398,1.0,0.5
ncvoter(t0) ⋀ ncvoter(t1) ⋀ t0.county_id == t1.county_id ⋀ t0.election_phase == 11/06/2012 GENERAL  ->  t0.election_phase == t1.election_phase,7257978982,1.0,0.5
ncvoter(t0) ⋀ ncvoter(t1) ⋀ t0.city_id3 == t1.city_id3 ⋀ t0.county_id == t1.county_id ⋀ t0.election_phase == 11/04/2014 GENERAL  ->  t0.city == t1.city,22840268,0.8951623548356855,0.3333333333333333
