left_id,right_id,label
0,186,0
81,111,1
20,108,1
172,199,1
68,195,0
40,85,0
18,219,0
112,201,0
135,171,0
41,115,1
5,207,0
27,146,1
116,215,1
62,187,0
96,98,0
70,98,0
89,110,0
1,28,0
125,201,1
56,130,0
19,46,1
22,134,0
67,70,1
41,99,1
170,214,1
59,170,0
70,88,0
115,212,1
42,66,1
7,144,0
9,108,1
39,199,0
111,191,0
133,207,1
117,218,0
44,184,1
97,196,0
97,222,1
93,184,1
4,40,1
172,206,1
68,99,1
26,34,1
103,149,0
130,141,1
59,96,1
106,137,0
30,137,0
32,211,1
43,48,0
112,152,0
106,171,0
86,124,1
73,117,1
15,66,0
169,176,0
117,213,0
94,166,1
118,182,1
127,153,0
32,67,1
45,141,1
29,221,1
17,190,0
7,112,1
169,197,1
18,114,1
17,191,0
18,94,0
5,115,0
89,97,0
57,112,1
86,146,0
153,200,0
0,10,0
1,189,0
44,119,1
131,152,0
165,194,0
81,160,1
39,90,1
53,87,0
70,142,0
46,155,0
41,101,1
81,106,1
91,218,0
24,136,1
7,131,1
54,184,0
32,124,1
78,145,0
94,175,1
102,114,1
12,149,1
17,164,0
102,181,1
72,171,0
181,186,1
105,218,0
29,92,1
79,205,1
12,79,1
87,149,1
69,187,0
2,89,0
89,180,1
106,143,1
65,122,1
184,211,1
59,154,0
102,215,1
74,189,1
34,69,1
11,102,0
50,91,0
151,213,1
1,204,0
14,150,1
13,169,1
187,222,1
88,128,0
23,207,0
51,196,0
39,175,1
94,180,1
57,126,1
38,50,1
47,182,1
22,205,1
3,74,0
47,194,1
76,134,0
74,185,1
107,220,0
17,95,0
40,151,0
152,195,0
84,106,1
114,135,0
0,14,0
51,71,0
15,222,0
100,128,0
37,90,1
73,151,0
83,218,1
0,202,0
25,129,0
109,151,0
64,100,0
162,213,1
61,161,1
116,195,0
17,85,0
64,186,1
52,172,0
18,53,0
66,90,1
16,90,1
21,209,0
163,208,1
90,139,0
78,148,0
66,140,1
96,159,0
73,198,0
167,176,0
126,204,0
97,207,1
14,73,0
12,83,0
55,98,0
204,210,0
13,179,0
48,91,1
75,101,1
49,198,1
132,147,1
33,163,0
41,179,1
65,117,1
188,201,1
50,174,0
15,114,1
80,199,1
10,88,1
1,29,0
28,133,1
5,93,0
40,216,0
8,138,0
13,58,1
88,138,1
5,64,0
103,117,1
52,72,1
155,182,1
63,214,0
101,152,0
30,128,0
19,107,1
89,203,1
77,99,1
83,151,1
144,153,1
12,82,1
60,204,1
1,209,0
27,128,1
15,210,0
23,115,0
42,50,1
39,141,1
84,134,1
153,167,1
50,159,0
34,151,1
8,140,1
40,53,0
99,208,0
86,153,1
76,221,0
152,154,1
90,167,0
121,135,1
104,149,1
51,123,1
53,180,1
47,162,0
133,157,1
74,130,1
10,148,0
16,92,1
44,128,1
48,65,0
171,210,1
36,101,1
71,198,0
176,186,1
32,107,1
125,181,1
68,123,1
183,192,1
99,149,0
9,161,1
121,213,1
123,192,0
4,154,1
149,163,0
99,118,0
22,63,1
14,147,1
25,52,0
121,208,1
85,187,0
152,174,1
17,207,0
84,215,1
13,207,1
50,158,0
66,186,1
38,152,0
165,174,0
0,188,0
58,113,0
3,210,1
96,114,1
57,150,1
108,222,0
147,153,0
141,206,0
5,163,0
16,151,1
40,128,0
18,162,0
22,65,0
27,109,1
124,145,0
46,212,0
171,174,1
138,197,1
81,153,1
12,167,1
60,79,0
27,69,1
194,199,1
91,153,0
127,129,0
99,188,0
37,40,1
28,38,1
71,208,1
40,56,0
164,169,1
18,24,0
11,19,0
164,167,1
17,40,1
74,80,0
27,94,1
79,132,1
85,114,1
119,132,0
24,216,1
26,126,1
34,54,1
127,165,1
155,186,1
13,221,0
14,29,0
49,132,1
131,181,0
8,154,0
79,106,1
80,120,1
62,204,1
62,115,1
120,179,0
187,217,1
