left_id,right_id,label
14,29,0
165,194,0
57,96,1
95,193,1
112,152,0
40,53,0
13,221,0
96,114,1
68,99,1
194,199,1
90,167,0
105,177,1
48,65,0
28,38,1
71,208,1
18,53,0
178,208,1
41,115,1
5,207,0
17,95,0
79,132,1
40,216,0
12,167,1
36,101,1
70,88,0
100,149,1
15,66,0
94,180,1
149,195,0
102,114,1
131,181,0
85,114,1
130,141,1
19,46,1
18,24,0
133,157,1
44,128,1
7,168,0
117,213,0
27,146,1
86,124,1
38,152,0
39,175,1
59,154,0
32,124,1
53,180,1
31,122,0
149,163,0
13,58,1
17,40,1
64,114,1
9,108,1
0,10,0
26,34,1
80,199,1
155,186,1
95,174,1
112,201,0
115,212,1
51,123,1
99,208,0
121,135,1
60,171,0
38,50,1
170,214,1
0,188,0
29,92,1
94,218,0
45,141,1
13,169,1
30,137,0
125,181,1
171,210,1
51,196,0
47,162,0
167,176,0
116,215,1
66,90,1
1,29,0
10,88,1
27,128,1
103,117,1
94,175,1
135,171,0
102,181,1
2,89,0
58,207,0
4,40,1
19,107,1
44,167,1
16,92,1
91,144,0
3,157,1
54,184,0
59,96,1
139,153,1
74,80,0
57,150,1
93,183,0
169,197,1
119,132,0
81,111,1
13,207,1
99,149,0
106,171,0
25,129,0
64,100,0
4,185,1
8,138,0
106,143,1
117,169,0
40,144,0
184,211,1
91,182,0
0,195,0
138,197,1
32,107,1
37,90,1
89,203,1
11,102,0
22,123,0
0,186,0
9,161,1
65,178,0
60,79,0
50,91,0
123,192,0
153,167,1
12,83,0
10,148,0
81,160,1
26,39,1
22,134,0
34,54,1
187,217,1
16,90,1
9,203,1
153,200,0
87,149,1
42,50,1
172,206,1
85,187,0
65,122,1
117,218,0
39,199,0
49,132,1
114,135,0
73,198,0
39,141,1
51,71,0
120,179,0
133,180,1
3,74,0
18,114,1
79,106,1
84,215,1
204,210,0
18,94,0
115,158,1
194,220,1
