left_id,right_id,label
19,46,1
22,134,0
82,201,0
17,164,0
124,145,0
169,197,1
56,130,0
41,115,1
149,163,0
17,191,0
71,198,0
18,94,0
33,163,0
17,95,0
43,48,0
60,79,0
29,92,1
3,157,1
91,182,0
117,218,0
121,135,1
115,212,1
27,69,1
94,175,1
1,29,0
62,204,1
62,115,1
2,176,0
71,208,1
53,180,1
104,149,1
5,115,0
13,169,1
135,171,0
30,137,0
84,134,1
131,152,0
107,220,0
22,63,1
99,149,0
70,98,0
22,65,0
11,172,0
47,194,1
9,203,1
49,198,1
114,135,0
31,122,0
172,199,1
32,67,1
39,199,0
147,153,0
86,153,1
79,132,1
133,207,1
50,159,0
52,172,0
42,66,1
106,171,0
89,203,1
127,153,0
13,58,1
178,208,1
32,124,1
39,141,1
171,174,1
187,217,1
132,147,1
68,123,1
43,67,0
76,134,0
60,204,1
95,193,1
138,197,1
53,87,0
48,141,1
152,195,0
103,117,1
65,117,1
40,128,0
153,200,0
117,213,0
74,189,1
167,176,0
130,141,1
169,176,0
164,169,1
86,124,1
187,222,1
15,66,0
9,108,1
74,80,0
119,132,0
64,114,1
96,114,1
25,129,0
8,154,0
73,151,0
165,194,0
40,144,0
58,113,0
164,167,1
18,53,0
37,90,1
123,192,0
27,109,1
24,136,1
10,148,0
116,215,1
139,153,1
8,138,0
102,193,1
48,65,0
108,222,0
88,128,0
0,188,0
41,179,1
94,218,0
17,85,0
155,186,1
68,99,1
47,162,0
0,195,0
34,69,1
57,150,1
141,206,0
37,40,1
22,205,1
14,110,0
51,196,0
3,210,1
170,214,1
44,128,1
28,38,1
133,180,1
115,158,1
62,187,0
20,103,0
97,222,1
18,219,0
120,179,0
7,131,1
79,205,1
15,210,0
198,204,1
13,221,0
12,82,1
21,172,0
117,169,0
39,175,1
50,91,0
93,184,1
155,182,1
101,152,0
51,71,0
78,148,0
99,208,0
32,211,1
7,62,0
50,220,0
27,146,1
0,10,0
50,124,0
5,207,0
16,92,1
85,187,0
133,157,1
183,192,1
75,101,1
4,185,1
194,199,1
112,201,0
76,221,0
50,158,0
7,168,0
106,143,1
145,153,1
90,167,0
84,106,1
44,167,1
91,218,0
1,204,0
112,152,0
49,132,1
86,90,1
111,191,0
109,151,0
38,142,1
12,79,1
4,40,1
176,186,1
126,204,0
9,161,1
68,195,0
46,155,0
102,114,1
18,114,1
57,112,1
79,106,1
0,186,0
54,184,0
89,97,0
121,213,1
13,179,0
74,185,1
66,90,1
38,152,0
26,39,1
59,154,0
39,90,1
12,167,1
16,90,1
85,130,0
4,154,1
20,164,0
28,133,1
40,216,0
0,202,0
15,114,1
80,199,1
95,174,1
65,122,1
204,210,0
59,150,1
14,147,1
91,144,0
52,72,1
70,88,0
14,29,0
131,181,0
99,188,0
97,196,0
15,222,0
116,195,0
20,108,1
194,220,1
105,177,1
77,99,1
125,181,1
27,128,1
3,74,0
36,101,1
17,40,1
2,89,0
106,137,0
184,211,1
117,168,0
51,123,1
33,161,1
48,153,1
19,107,1
72,171,0
58,207,0
18,162,0
102,215,1
34,36,0
171,210,1
65,178,0
77,81,0
86,146,0
73,198,0
45,141,1
81,106,1
156,163,1
46,212,0
13,207,1
69,187,0
22,123,0
73,117,1
93,183,0
81,111,1
152,174,1
15,105,1
12,83,0
118,182,1
87,149,1
57,96,1
42,50,1
92,136,0
40,53,0
18,24,0
11,102,0
17,170,0
172,206,1
81,160,1
59,170,0
44,119,1
34,54,1
132,220,1
100,128,0
32,107,1
163,179,1
47,182,1
0,14,0
10,88,1
26,34,1
41,101,1
85,114,1
153,167,1
127,129,0
163,208,1
64,100,0
60,171,0
21,157,0
143,168,0
125,201,1
57,126,1
48,91,1
66,186,1
84,215,1
59,96,1
8,140,1
149,195,0
44,69,1
94,180,1
102,181,1
100,149,1
115,197,1
151,213,1
38,50,1
