id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
4190,LFPT,medium_airport,Aérodrome de Pontoise - Cormeilles en Vexin,49.096667,2.040833,325,EU,FR,FR-IDF,Cormeilles-en-Vexin,no,LFPT,POX,,,https://en.wikipedia.org/wiki/Pontoise_%E2%80%93_Cormeilles_Aerodrome,
6524,00AK,small_airport,Lowell Field,59.94919968,-151.6959991,450,NA,US,US-AK,Anchor Point,no,00AK,,00AK,,,
28989,LFQS,small_airport,Vitry en Artois Airfield,50.338299,2.99333,174,EU,FR,FR-HDF,,no,LFQS,,,,,
6549,00MO,small_airport,Cooper Flying Service Airport,37.20280075,-94.41239929,970,NA,US,US-MO,Alba,no,00MO,,00MO,,,5K8
4206,LFRB,medium_airport,Brest Bretagne Airport,48.44789886,-4.418540001,325,EU,FR,FR-BRE,Brest/Guipavas,yes,LFRB,BES,,,https://en.wikipedia.org/wiki/Brest_Bretagne_Airport,
6556,00OI,heliport,Miami Valley Hospital Heliport,39.74530029,-84.18740082,905,NA,US,US-OH,Dayton,no,00OI,,00OI,,,
6558,00PA,heliport,R J D Heliport,39.94889832,-75.74690247,402,NA,US,US-PA,Coatesville,no,00PA,,00PA,,,
4215,LFRK,medium_airport,Caen-Carpiquet Airport,49.1733017,-0.449999988,256,EU,FR,FR-NOR,Caen/Carpiquet,yes,LFRK,CFR,,,https://en.wikipedia.org/wiki/Caen_-_Carpiquet_Airport,
6567,00UT,closed,Clear Creek Ranch Airport,37.247799,-112.821998,6138,NA,US,US-UT,Kanab,no,,,,,,"00UT, U21"
6568,00VA,small_airport,Vaughan Airport,36.57600021,-78.9991684,551,NA,US,US-VA,Alton,no,00VA,,00VA,,,
4225,LFRZ,medium_airport,Saint-Nazaire-Montoir Airport,47.3105556,-2.1566667,13,EU,FR,FR-PDL,Saint-Nazaire/Montoir,no,LFRZ,SNR,,,,
4234,LFSN,medium_airport,Nancy-Essey Airport,48.69210052,6.230460167,751,EU,FR,FR-GES,Nancy/Essey,no,LFSN,ENC,,,,
29002,LFSU,small_airport,Langres Rolampont Airfield,47.964804,5.293663,1378,EU,FR,FR-GES,Langres,no,LFSU,,,,https://fr.wikipedia.org/wiki/A%C3%A9rodrome_de_Langres_-_Rolampont,
6596,01IS,small_airport,William E. Koenig Airport,39.01620102,-90.31819916,670,NA,US,US-IL,Dow,no,01IS,,01IS,,,
29008,LFTP,small_airport,Puimoisson Airfield,43.86889,6.16278,2523,EU,FR,FR-PAC,Hyeres,no,LFTP,,,http://www.puivolavoile.com/?lang=en,,
45537,01NM,small_airport,Champion Ranch Airport,33.008611,-104.540278,3630,NA,US,US-NM,Artesia,no,01NM,,01NM,,,
29023,LFYK,small_airport,Marville Montmédy Airfield,49.459202,5.4025,909,EU,FR,FR-GES,,no,,,LF5526,,,
29028,LFYT,closed,Saint-Simon - Clastres Air Base,49.757542,3.21598,295,EU,FR,FR-HDF,,no,LFYT,,,,https://en.wikipedia.org/wiki/Saint-Simon_%E2%80%93_Clastres_Air_Base,
43498,FR-0158,small_airport,Beauvoir-Sur-Mer,46.89014816,-2.088155984,10,EU,FR,FR-PDL,Beauvoir-Sur-Mer,no,LFFO,,,,,
43030,02AR,closed,Three Rivers Airport,34.822445,-92.44442,264,NA,US,US-AR,Little Rock,no,,,,,,02AR
38808,AR-0133,heliport,El Capricho Heliport,-34.2325,-59.3158,98,SA,AR,AR-B,Chenaut,no,,,HCO,,,
6661,02ME,small_airport,Nadeau's Airfield,43.5373,-70.929397,700,NA,US,US-ME,Acton,no,02ME,,02ME,,,Old Acton Airfield
30139,LGML,small_airport,Milos Airport,36.696899,24.4769,10,EU,GR,GR-82,Milos Island,yes,LGML,MLO,,,https://en.wikipedia.org/wiki/Milos_Island_National_Airport,
6663,02MN,small_airport,Greenbush Municipal Airport,48.68330002,-96.19200134,1070,NA,US,US-MN,Greenbush,no,02MN,,02MN,,,
307953,GB-0122,closed,RAF Bitteswell,52.459444,-1.246111,,EU,GB,GB-ENG,Leicestershire,no,,,,,https://en.wikipedia.org/wiki/RAF_Bitteswell,
6676,02OR,small_airport,Rowena Dell Airport,45.68149948,-121.3160019,705,NA,US,US-OR,The Dalles,no,02OR,,02OR,,,
4285,LGSP,small_airport,Sparti Airport,36.97389984,22.52630043,500,EU,GR,GR-16,Sparti,no,LGSP,SPJ,,,,
6679,02PN,heliport,Peco Berwyn Heliport,40.06959915,-75.4552002,390,NA,US,US-PA,Berwyn,no,02PN,,02PN,,,
4294,LGTT,small_airport,Tatoi Airport,38.10889816,23.78380013,785,EU,GR,GR-A1,Tatoi,no,LGTT,,,,,
6691,02VG,heliport,Northstar Aviation Heliport,36.63880157,-82.11669922,1850,NA,US,US-VA,Bristol,no,02VG,,02VG,,,
43993,LHBA,closed,Balassagyarmat Airfield,48.078037,19.321749,466,EU,HU,HU-NO,Balassagyarmat,no,LHBA,,,,,
6694,02WN,small_airport,Fowler Field,48.74580002,-119.3190002,2150,NA,US,US-WA,Tonasket,no,02WN,,02WN,,,
29732,LHBS,small_airport,Budaörs Airfield,47.451099,18.9806,397,EU,HU,HU-BU,Budaörs,no,LHBS,,,,,
6697,03AL,heliport,Highland Medical Center Heliport,34.662604,-86.046774,628,NA,US,US-AL,Scottsboro,no,03AL,,03AL,,,Jackson County Hospital Heliport
6700,03CA,heliport,Grossmont Hospital Heliport,32.779484,-117.006952,634,NA,US,US-CA,La Mesa,no,03CA,,03CA,,,
309451,LHER,small_airport,Eger Apollo Airfield,47.9052,20.4055,790,EU,HU,HU-HE,Eger,no,LHER,,,http://www.halley.hu,,
6704,03FL,heliport,Ranger Heliport,26.68370056,-80.18730164,20,NA,US,US-FL,West Palm Beach,no,03FL,,03FL,,,
43512,FR-0172,heliport,Centre Hospitalier Heliport,50.1538887,2.353332996,236,EU,FR,FR-HDF,Doullens,no,,,,,,
6708,03II,small_airport,Davis Field Ultralightport,37.9620018,-87.77890015,465,NA,US,US-IN,Mount Vernon,no,03II,,03II,,,
6711,03IS,heliport,OSF St Anthony's Health Center Heliport,38.904999,-90.173401,580,NA,US,US-IL,Alton,no,03IS,,03IS,,,St Anthony's Hospital
6712,03KS,heliport,Valley Grain Heliport,39.86470032,-95.26409912,1160,NA,US,US-KS,Highland,no,03KS,,03KS,,,
6553,00NJ,heliport,Colgate-Piscataway Heliport,40.52090073,-74.47460175,78,NA,US,US-NJ,New Brunswick,no,00NJ,,00NJ,,,
38819,AR-0144,heliport,Estancia Haychol Heliport,-38.6481,-70.6775,3447,SA,AR,AR-Q,Las Lajas,no,,,HHL,,,
317557,LHKT,small_airport,Kadarkút,46.2462,17.6088,,EU,HU,HU-SO,,no,LHKT,,,,,
325366,LHP,closed,Lehu Airport,-6.527493,155.712442,1770,OC,PG,PG-NSB,Lehu,no,,LHP,LEHU,,,
318138,LHUH,small_airport,Úrhida,47.1263889,18.3116667,633,EU,HU,HU-FE,Sárszentmihály,no,LHUH,,,,,
29414,LIAF,small_airport,Foligno Airport,42.9328,12.7101,730,EU,IT,IT-55,Foligno (PG),no,LIAF,,PG02,,,
6758,04CT,heliport,Shingle Mill Heliport,41.75510025,-73.05239868,880,NA,US,US-CT,Harwinton,no,04CT,,04CT,,,
317011,LIBH,heliport,Marina di Ginosa Heliport,40.424107,16.887501,26,EU,IT,IT-75,Marina di Ginosa,no,LIBH,,,,,
6559,00PS,closed,Thomas Field,40.3778,-77.365303,815,NA,US,US-PA,Loysville,no,,,,,,00PS
25899,WS05,closed,Lonely Pines Airport,45.4772,-90.625098,1365,NA,US,US-WI,Kennan,no,,,,,,WS05
6768,04KS,heliport,Robinson Industries Heliport,38.97890091,-95.21970367,835,NA,US,US-KS,Lawrence,no,04KS,,04KS,,,
6773,04MA,closed,Goddard Field (Airport),42.80979919,-71.1391983,200,NA,US,US-MA,Haverhill,no,04MA,,04MA,,,
29421,LIDL,small_airport,Legnago Airport,45.133202,11.2922,30,EU,IT,IT-34,Legnago,no,LIDL,,VR09,,,
6789,04PA,heliport,S & C Distribution Center Heliport,39.87929916,-75.22879791,50,NA,US,US-PA,Philadelphia,no,04PA,,04PA,,,
331921,LIDS,closed,San Leo,43.9194444,12.32,,EU,IT,IT-57,,no,LIDS,,,,,
30298,LIDV,small_airport,Prati Vecchi D'Aguscello Airport,44.790298,11.6692,20,EU,IT,IT-45,Ferrara (FE),no,LIDV,,FE02,,,
29748,LILC,small_airport,Calcinate Del Pesce Airport,45.8097,8.76806,797,EU,IT,IT-25,Varese (VA),no,LILC,,VA01,,,
4335,LILE,medium_airport,Biella-Cerrione Airport,45.4953,8.10278,920,EU,IT,IT-21,Biella (BI),no,LILE,,BI03,http://www.aeroportobiella.it/,https://en.wikipedia.org/wiki/Biella-Cerrione_Airport,
6807,05AK,small_airport,Wasilla Creek Airpark,61.66830063,-149.1880035,620,NA,US,US-AK,Palmer,yes,05AK,,05AK,,,
38837,AR-0162,small_airport,Fortín De Gainza Airport,-34.5494,-63.1225,426,SA,AR,AR-B,Santa Regina,no,,,SRE,,,
6814,05CT,heliport,O And G Heliport,41.77370071,-73.11620331,600,NA,US,US-CT,Torrington,no,05CT,,05CT,,,
4339,LIMB,small_airport,Milano-Bresso Airfield,45.542198,9.20333,484,EU,IT,IT-25,Milano,no,LIMB,,MI08,http://www.aeroclubmilano.it,https://en.wikipedia.org/wiki/Bresso_Airport,"Bresso, Aeroclub Milano"
6819,05IA,small_airport,Spotts Field,43.13750076,-93.06829834,1155,NA,US,US-IA,Nora Springs,no,05IA,,05IA,,,
6821,05II,small_airport,Reichhart Airport,41.02870178,-84.99720001,795,NA,US,US-IN,New Haven,no,05II,,05II,,,
6823,05IN,small_airport,Cooper Airport,39.64199829,-86.5042038,860,NA,US,US-IN,Belleville,no,05IN,,05IN,,,
6824,05IS,small_airport,Hardy Airport,39.72589874,-89.26399994,605,NA,US,US-IL,Mount Auburn,no,05IS,,05IS,,,
